"Temperatura","pH","Oxígeno disuelto","Conductividad","Turbiedad","Alcalinidad total","Cloruros totales","Dureza total","Fluoruros","Nitrógeno de nitratos","Nitrógeno de nitritos","Nitrógeno amoniacal","Nitrógeno total Kjeldahl","Sulfatos","SAAM","DBO Turbiedad","DQO","Grasas y aceites","Fósforo total","SST","Sólidos disueltos tot.","Sólidos sedimentables","Sulfuros","Aluminio","Arsénico","Bario","Cadmio","Cobre","Cromo","Fierro","Manganeso","Mercurio","Níquel","Plomo","Sodio","Zinc","Coliformes totales","Coliformes fecales","Temp. ambiente","Acidez total","Dureza de calcio","Sólidos totales","Nitrógeno total","fecha","año","mes","est"
22,6.2,4.21,270,400,89.99,15.65,85.43,0.5,3.07,0.249,1.96,3.17,10,0.14,3.72,42.16,5.6,0.94,176,419,0.1,0.1,10.1,0.0025,0.346,5e-04,0.05,0.05,9.88,0.237,5e-04,0.1,202,10,700,240000,240000,31,11.74,59.78,595,6.49,2020-08-05,"2020","8","CS-01"
20,6.9,6.86,388,19,118.63,16.47,88.73,0.3,2.53,0.213,4,5.76,14.9,0.19,8.91,33.5,5.14,0.61,29,213,0.1,0.1,1.57,0.0025,0.268,62000,0.05,0.05,2.397,0.12,5e-04,0.1,3700,11,230,4600,4600,23,9.43,54.77,242,8.5,2020-09-01,"2020","9","RZ-05"
19,7.1,7.38,319,22,98.63,13.1,91.89,0.43,6.07,0.1,0.5,1.18,10,0.1,3.98,30,5.14,0.45,83,195,0.2,0.1,2.15,0.0025,0.218,85000,0.05,0.05,3.863,0.133,5e-04,0.1,4400,10,220,15000,15000,27,6.75,54.37,278,7.35,2020-09-01,"2020","9","RZ-04"
21,6.7,5.84,380,60,125.26,12.96,108.84,0.4,1.08,0.184,0.5,1.7,10.9,0.23,6.82,32.5,8.99,0.55,89,243,0.2,0.1,2.87,0.0025,0.145,93000,0.05,0.05,5.022,0.183,5e-04,0.1,6300,12.4,220,150000,150000,27,10.81,62.05,332,2.96,2020-09-01,"2020","9","RZ-03"
22,6.4,6.71,505,360,92.31,20.73,104.31,1,8.55,0.175,0.7,3.76,90.38,0.1,13.44,69.5,5.14,1.18,635,343,0.3,0.1,17.6,5600,0.39,2000,0.05,0.05,16.233,0.424,5e-04,0.1,191,31.3,920,210000,14000,19,13.41,65.01,978,12.49,2020-09-02,"2020","9","RL-02"
23,6.3,6.37,462,320,91.6,20.03,101.35,0.74,8.16,290,0.5,2.94,11.13,0.1,12.33,69,5.14,1.19,495,442,0.3,0.1,18.24,4000,0.384,1470,0.05,0.05,18.266,0.458,5e-04,0.1,180,27.7,960,1.1e+07,1.1e+07,22,13.75,62.65,937,11.13,2020-09-02,"2020","9","RL-01"
25,6.6,0.93,1003,50,283.97,27.51,195.01,0.45,2.58,0.01,13.23,19.34,126.1,10.35,119.7,192.08,10.96,2.91,133,513,0.1,7.25,3.96,0.0025,0.146,2070,0.05,0.05,3.879,0.196,5e-04,0.1,164,59,620,1.1e+07,1.1e+07,23,27.07,111.7,646,21.92,2020-09-02,"2020","9","CS-01"
16,7,6.94,536,11,215.25,26.01,132.75,0.37,0.3,0.112,11.53,16.15,29.29,0.78,31.2,73.9,11.32,2.64,15,301,0.1,0.12,0.795,0.0025,0.16,5e-04,0.103,0.05,1.553,0.312,5e-04,0.1,104,33.5,0.02,2100000,2100000,23,19.5,65.46,316,16.56,2020-10-09,"2020","10","RZ-05"
16,7.2,8.03,341,5.25,124.64,15.93,114.85,0.27,8.67,360,0.94,1.93,10,0.11,3.41,18,5.14,0.57,19,210,0.1,0.1,1.315,0.0025,0.101,57000,0.05,0.05,0.861,0.05,5e-04,0.1,8200,14.4,0.02,750,750,28,5.85,60.56,229,10.64,2020-10-09,"2020","10","RZ-04"
18,6.7,5.42,399,14,153.54,16.67,122.52,0.3,6.05,0.31,1.58,2.46,23.45,0.46,6.03,23.81,5.14,0.74,22,252,0.1,0.1,2.44,0.0025,690,56000,0.05,0.05,1.342,0.135,5e-04,0.1,203,18.7,0.02,150000,93000,26,8.42,72.13,274,8.82,2020-10-09,"2020","10","RZ-03"
