"Temperatura","pH","Oxígeno disuelto","Conductividad","Turbiedad","Alcalinidad total","Cloruros totales","Dureza total","Fluoruros","Nitrógeno de nitratos","Nitrógeno de nitritos","Nitrógeno amoniacal","Nitrógeno total Kjeldahl","Sulfatos","SAAM","DBO Turbiedad","DQO","Grasas y aceites","Fósforo total","SST","Sólidos disueltos tot.","Sólidos sedimentables","Sulfuros","Aluminio","Arsénico","Bario","Cadmio","Cobre","Cromo","Fierro","Manganeso","Mercurio","Níquel","Plomo","Sodio","Zinc","Coliformes totales","Coliformes fecales","Temp. ambiente","Acidez total","Dureza de calcio","Sólidos totales","Nitrógeno total","Materia flotante","fecha","año","mes","est"
23,7.46,0,1058,20,398.7,7.1,190.8,0.97,0.1,0.022,8.37,10.3,75.44,2.21,19.68,177.1,9.5,2.92,7,702,0.1,2.02,0.2,8100,0.005,5e-04,0.05,0.05,0.125,0.172,5e-04,0.1,0.0025,100.1,0.105,240000,240000,29,29.7,,709,10.3,,2009-04-20,"2009","4","RS-04"
23,7.7,0,1106,3.3,445.6,6.8,222.7,1.07,0.1,0.103,9.66,11.59,69.16,0.89,10,58.8,7.88,3.3,6,968,0.1,0.1,0.01,8700,0.005,5e-04,0.05,0.05,0.16,0.251,5e-04,0.1,0.0025,110.8,720,240000,240000,30,29.7,,974,11.693,,2009-04-20,"2009","4","RS-05"
24,8.16,5.64,1109,4.4,422.1,6.8,181.8,1.09,1.04,0.5,8.37,10.9,87.07,0.44,18,82.2,7.69,3.83,6,772,0.1,0.1,0.207,7500,0.005,5e-04,0.05,0.05,0.195,0.204,5e-04,0.1,0.0025,110.2,0.217,110000,110000,30,19.8,,778,12.44,,2009-04-20,"2009","4","RS-06"
28,7.56,0,1274,65.5,515.9,99.5,301,0.9,0.29,0.022,34.78,46.4,106.7,6.79,143.5,320.8,22.8,7.41,56,853,0.1,2.74,1.038,6300,0.005,5e-04,0.05,0.05,0.424,0.105,5e-04,0.1,0.0025,88.2,0.149,2400000,430000,36,138.6,,909,46.69,,2009-04-20,"2009","4","RS-07"
26,8.08,6.65,1165,25,469,65.2,178.5,1.07,0.85,0.41,11.59,18.68,79.74,0.79,18.6,107.8,8.7,3.81,48,765,1,0.1,1.375,127,0.005,7000,0.05,0.05,0.821,0.135,5e-04,0.1,0.0025,110.9,760,110000,15000,34,99,,813,19.94,,2009-04-20,"2009","4","RS-08"
23,7.7,2.82,969,5.5,469,51.5,143,1.05,0.1,210,15.46,16.1,63.1,0.4,8.42,68.6,6.22,3.47,10,612,0.1,0.47,0.01,9100,0.005,5e-04,0.05,0.05,0.135,0.183,5e-04,0.1,0.0025,84.4,0.02,3,3,25,99,,622,16.121,,2009-04-20,"2009","4","RS-09"
23,7.77,2.41,880,3,375.2,51.5,140,1.16,7.54,0.563,5.15,8.37,55.42,0.21,21.7,58.8,5.7,2.28,6,618,0.1,0.1,0.01,9900,0.005,5e-04,0.05,0.05,410,0.128,5e-04,0.1,0.0025,81.7,0.02,2300,400,20,59.4,,624,16.473,,2009-04-20,"2009","4","RS-RS-010"
20,7.5,0,1575,340,633.2,8.5,136.2,0.81,0.54,280,54.1,66.9,135.07,8.8,225,443,30.67,10.83,83,936,0.1,12.4,0.413,7700,0.005,5e-04,0.05,0.05,0.33,0.216,5e-04,0.1,0.0025,141.6,0.109,2.4e+07,2.4e+07,21,69.3,,1019,67.468,,2009-04-20,"2009","4","AA-0RS-01"
23,7.8,0,1480,310,680.1,9.2,149.9,1.06,0.4,0.022,34.1,52.16,108.5,4.78,157.7,327,18.21,10.77,69,958,0.1,1.92,1.317,7800,0.005,5e-04,0.05,0.05,0.842,0.286,5e-04,0.1,0.0025,136.6,720,2.4e+07,2.4e+07,28,59.4,,1027,52.56,,2009-04-20,"2009","4","AA-0RS-02"
27,8.35,7.66,784,45,422.1,37.7,168,1.1,0.1,174,2.57,3.86,48.98,0.85,15.81,49,7.11,0.45,44,566,0.1,0.1,2.67,122,0.005,5e-04,0.05,0.05,2.198,0.08,5e-04,0.1,0.0025,71.1,660,4300,2300,,9.9,,610,3.8774,,2009-04-20,"2009","4","RZ-0RS-01"
25,8.5,2.63,980,12,458.2,52.13,225.7,0.97,0.1,0.022,4.25,6.91,93.6,0.47,15.6,79.69,9.57,0.87,36,589,0.1,0.79,0.01,8700,0.005,5e-04,0.05,0.05,0.31,0.177,50000,0.1,0.0025,,0.02,150000,70000,,,,625,6.91,,2009-05-25,"2009","5","RS-01"
23,8.5,0.81,1206,3.2,458.2,64.02,269.3,1.05,0.1,0.022,3.72,5.85,146.47,0.33,2.98,78.91,7.74,2,11,727,0.1,1.82,0.01,117,0.005,5e-04,0.05,0.05,0.225,0.173,70000,0.1,0.0025,,540,15000,4000,31,,,738,5.85,,2009-05-25,"2009","5","RS-02"
23,8.5,0,1094,6.8,412,67.7,249.5,1.04,0.1,0.022,3.19,10.64,106,0.53,5.01,70.66,10.64,2.24,10,688,0.1,1.4,0.385,9700,0.005,5e-04,0.05,0.05,0.231,0.233,5e-04,0.1,0.0025,82.2,640,4000,4000,28,,,698,10.64,,2009-05-25,"2009","5","RS-03"
23,8.42,0,1303,12.1,641,85.97,261.4,1.07,0.1,0.022,12.24,14.36,120.5,2.33,20.04,96.97,7.44,2.55,14,804,1,3.26,0.339,9700,0.005,5e-04,0.05,0.05,0.109,0.244,1100,0.1,0.0025,97.2,590,430000,150000,32,,,818,14.36,,2009-05-25,"2009","5","RS-04"
29,8.45,4.66,1192,5.7,504,68.59,245.5,1.14,0.1,420,6.91,9.57,147.6,0.5,11.16,72.63,6.55,3.62,19,716,0.1,0.1,0.33,9000,0.005,5e-04,0.05,0.05,0.145,0.196,1400,0.1,0.0025,90,620,93000,21000,30,,,735,9.612,,2009-05-25,"2009","5","RS-05"
28,8.48,3.24,1233,4.5,458.2,82.31,253.4,1.16,3,1.7,3.19,5.85,145.4,0.47,16.86,84,5.39,2.16,8,764,0.1,14.6,0.01,5900,0.005,5e-04,0.05,0.05,0.114,0.171,5e-04,0.1,0.0025,116.6,0.02,240000,240000,30,,,772,10.55,,2009-05-25,"2009","5","RS-06"
30,8.28,0,1536,80.9,549.9,112.33,174.2,0.58,0.1,180,30.86,39.9,155.5,14.9,205.8,401.22,32.72,5.27,14,963,0.1,2.6,1.778,9800,0.005,8500,0.05,0.05,1.061,0.158,60000,0.1,0.0025,143.4,0.129,2.4e+07,2.4e+07,33,,,977,39.918,,2009-05-25,"2009","5","RS-07"
28,8.35,2.22,1260,35,458.2,81.46,186.1,1.22,0.1,0.022,17.56,23.41,134,3.29,38.8,146.44,14.13,4.91,74,681,0.3,0.58,1.004,120,0.005,5400,0.05,0.05,0.961,0.185,60000,0.1,0.0025,95.1,0.08,930000,930000,28,,,755,23.41,,2009-05-25,"2009","5","RS-08"
25,8.41,2.22,1222,8.2,458.2,74.6,221,1.16,0.33,570,17.02,19.68,114.9,0.3,5.44,10,9.34,1.2,13,686,0.1,0.58,0.216,111,0.005,5e-04,0.05,0.05,0.529,0.789,70000,0.1,0.0025,86.5,0.02,9000,9000,22,,,699,20.067,,2009-05-25,"2009","5","RS-09"
23,8.48,8.91,1130,7.8,366.6,81.46,225.7,1.28,2.17,1.79,6.92,9.58,117.7,0.74,10.71,30,9.89,3.2,12,672,0.1,0.1,0.01,145,0.005,5e-04,0.05,0.05,0.126,0.144,60000,0.1,0.0025,97.3,0.02,900,900,15,,,684,13.54,,2009-05-25,"2009","5","RS-RS-010"
21,8.22,0,1701,170,641,87.8,277.2,1.32,0.29,0.022,39.9,45.75,201.9,24.9,288,567.3,60.35,7.32,297,956,1,9.94,3.382,8000,0.005,5e-04,0.111,690,2.2275,0.297,1300,0.1,124,,0.233,2.4e+07,2.4e+07,19,,,1253,46.04,,2009-05-25,"2009","5","AA-0RS-01"
23,8.48,0.4,1891,42.1,733,121.64,308.9,1.3,0.1,0.022,24.47,28.73,349,8.86,53.16,182.95,19.67,6.83,48,1126,1,1.19,0.624,7900,0.005,5e-04,0.05,0.05,0.331,0.613,80000,0.1,0.0025,177.9,710,4600000,4600000,32,,,1174,28.73,,2009-05-25,"2009","5","AA-0RS-02"
25,8.41,1.01,1035,25,504,58.53,269.3,0.98,0.1,0.022,2.12,6.38,71.7,0.82,26.28,112.3,5.74,1.19,51,628,0.1,2.2,0.505,6100,0.005,5e-04,0.05,0.05,0.846,0.268,50000,0.1,0.0025,,0.11,930000,70000,25,,,679,6.38,,2009-05-25,"2009","5","RZ-0RS-01"
24,6.9,0,591,57.8,229.1,53.04,84.1,0.45,0.1,420,7.06,10.87,55.94,0.6,55.8,132.7,13.8,1.83,109,350,0.1,0.12,1.916,0.0025,0.005,5e-04,0.05,0.05,1.854,0.286,70000,0.1,0.0025,42.5,940,230000,230000,25,,,459,10.912,,2009-06-30,"2009","6","RS-01"
22,7.3,0,798,3.2,297.8,51.21,114.7,0.79,0.1,0.01,1.08,4.34,112.78,0.42,5.07,58.8,9.68,2.08,5,475,0.2,0.41,0.01,8100,0.005,5e-04,0.05,0.05,0.144,0.186,80000,0.1,0.0025,54.5,530,9300,9300,26,,,480,4.35,,2009-06-30,"2009","6","RS-02"
